,datetime,true_aqi,predicted_aqi,city
199,2023-12-03 12:00:00,5,5,Chiang Mai
200,2023-12-03 13:00:00,4,4,Bangkok
201,2023-12-03 13:00:00,3,3,Chiang Mai
203,2023-12-03 14:00:00,4,5,Chiang Mai
202,2023-12-03 14:00:00,5,5,Bangkok
204,2023-12-03 15:00:00,5,5,Chiang Mai
205,2023-12-03 15:00:00,3,3,Bangkok
206,2023-12-03 16:00:00,5,5,Bangkok
207,2023-12-03 16:00:00,5,5,Chiang Mai
208,2023-12-03 17:00:00,4,3,Bangkok
209,2023-12-03 17:00:00,2,2,Chiang Mai
210,2023-12-03 18:00:00,5,5,Bangkok
211,2023-12-03 18:00:00,5,4,Chiang Mai
212,2023-12-03 19:00:00,5,5,Chiang Mai
213,2023-12-03 19:00:00,3,3,Bangkok
215,2023-12-03 20:00:00,5,4,Bangkok
214,2023-12-03 20:00:00,5,5,Chiang Mai
216,2023-12-03 21:00:00,5,5,Chiang Mai
217,2023-12-03 21:00:00,5,5,Bangkok
218,2023-12-03 22:00:00,2,2,Bangkok
219,2023-12-03 22:00:00,5,5,Chiang Mai
220,2023-12-03 23:00:00,2,2,Bangkok
221,2023-12-03 23:00:00,5,5,Chiang Mai
222,2023-12-04 00:00:00,5,5,Bangkok
223,2023-12-04 00:00:00,4,4,Chiang Mai
224,2023-12-04 01:00:00,5,5,Bangkok
225,2023-12-04 01:00:00,3,3,Chiang Mai
227,2023-12-04 02:00:00,5,5,Chiang Mai
226,2023-12-04 02:00:00,5,5,Bangkok
228,2023-12-04 03:00:00,5,5,Chiang Mai
229,2023-12-04 03:00:00,2,2,Bangkok
230,2023-12-04 04:00:00,4,5,Bangkok
231,2023-12-04 04:00:00,5,5,Chiang Mai
232,2023-12-04 05:00:00,4,4,Bangkok
233,2023-12-04 05:00:00,5,5,Chiang Mai
234,2023-12-04 06:00:00,5,5,Bangkok
235,2023-12-04 06:00:00,4,4,Chiang Mai
236,2023-12-04 07:00:00,5,5,Chiang Mai
237,2023-12-04 07:00:00,5,3,Bangkok
239,2023-12-04 08:00:00,3,3,Bangkok
238,2023-12-04 08:00:00,3,3,Chiang Mai
240,2023-12-04 09:00:00,5,5,Bangkok
241,2023-12-04 09:00:00,5,5,Chiang Mai
242,2023-12-04 10:00:00,5,5,Bangkok
243,2023-12-04 10:00:00,3,5,Chiang Mai
244,2023-12-04 11:00:00,1,1,Bangkok
245,2023-12-04 11:00:00,3,2,Chiang Mai
246,2023-12-04 12:00:00,5,5,Bangkok
247,2023-12-04 12:00:00,5,5,Chiang Mai
248,2023-12-04 13:00:00,1,1,Bangkok
249,2023-12-04 13:00:00,3,3,Chiang Mai
250,2023-12-04 14:00:00,5,5,Bangkok
251,2023-12-04 14:00:00,5,5,Chiang Mai
253,2023-12-04 15:00:00,5,5,Chiang Mai
252,2023-12-04 15:00:00,4,4,Bangkok
254,2023-12-04 16:00:00,4,4,Bangkok
255,2023-12-04 16:00:00,5,5,Chiang Mai
256,2023-12-04 17:00:00,5,5,Bangkok
257,2023-12-04 17:00:00,2,3,Chiang Mai
258,2023-12-04 18:00:00,4,5,Bangkok
259,2023-12-04 18:00:00,4,4,Chiang Mai
260,2023-12-04 19:00:00,5,5,Bangkok
261,2023-12-04 19:00:00,2,2,Chiang Mai
262,2023-12-04 20:00:00,5,5,Chiang Mai
263,2023-12-04 20:00:00,3,2,Bangkok
265,2023-12-04 21:00:00,2,2,Chiang Mai
264,2023-12-04 21:00:00,2,2,Bangkok
266,2023-12-04 22:00:00,1,1,Chiang Mai
267,2023-12-04 22:00:00,4,4,Bangkok
268,2023-12-04 23:00:00,5,5,Bangkok
269,2023-12-04 23:00:00,5,5,Chiang Mai
270,2023-12-05 00:00:00,5,5,Bangkok
271,2023-12-05 00:00:00,3,2,Chiang Mai
272,2023-12-05 01:00:00,3,3,Bangkok
273,2023-12-05 01:00:00,3,3,Chiang Mai
274,2023-12-05 02:00:00,3,5,Bangkok
275,2023-12-05 02:00:00,2,3,Chiang Mai
276,2023-12-05 03:00:00,5,5,Bangkok
277,2023-12-05 03:00:00,3,2,Chiang Mai
279,2023-12-05 04:00:00,1,1,Bangkok
278,2023-12-05 04:00:00,5,5,Chiang Mai
280,2023-12-05 05:00:00,5,5,Bangkok
281,2023-12-05 05:00:00,4,5,Chiang Mai
282,2023-12-05 06:00:00,4,4,Bangkok
283,2023-12-05 06:00:00,4,4,Chiang Mai
284,2023-12-05 07:00:00,5,5,Bangkok
285,2023-12-05 07:00:00,5,5,Chiang Mai
286,2023-12-05 08:00:00,5,5,Bangkok
287,2023-12-05 08:00:00,5,5,Chiang Mai
288,2023-12-05 09:00:00,5,5,Bangkok
289,2023-12-05 09:00:00,4,4,Chiang Mai
291,2023-12-05 10:00:00,5,5,Chiang Mai
290,2023-12-05 10:00:00,4,4,Bangkok
292,2023-12-05 11:00:00,3,3,Bangkok
293,2023-12-05 11:00:00,4,3,Chiang Mai
294,2023-12-05 12:00:00,5,5,Chiang Mai
295,2023-12-05 12:00:00,2,2,Bangkok
296,2023-12-05 13:00:00,4,5,Bangkok
297,2023-12-05 13:00:00,5,5,Chiang Mai
298,2023-12-05 14:00:00,5,5,Bangkok
299,2023-12-05 14:00:00,2,2,Chiang Mai
300,2023-12-05 15:00:00,5,5,Bangkok
301,2023-12-05 15:00:00,5,5,Chiang Mai
303,2023-12-05 16:00:00,4,5,Chiang Mai
302,2023-12-05 16:00:00,2,2,Bangkok
305,2023-12-05 17:00:00,5,5,Chiang Mai
304,2023-12-05 17:00:00,5,5,Bangkok
306,2023-12-05 18:00:00,5,5,Chiang Mai
307,2023-12-05 18:00:00,4,4,Bangkok
308,2023-12-05 19:00:00,5,4,Bangkok
309,2023-12-05 19:00:00,5,5,Chiang Mai
310,2023-12-05 20:00:00,5,5,Bangkok
311,2023-12-05 20:00:00,5,5,Chiang Mai
312,2023-12-05 21:00:00,1,5,Bangkok
313,2023-12-05 21:00:00,4,4,Chiang Mai
314,2023-12-05 22:00:00,5,5,Bangkok
315,2023-12-05 22:00:00,3,4,Chiang Mai
316,2023-12-05 23:00:00,5,5,Bangkok
317,2023-12-05 23:00:00,4,4,Chiang Mai
319,2023-12-06 00:00:00,2,2,Chiang Mai
318,2023-12-06 00:00:00,4,4,Bangkok
320,2023-12-06 01:00:00,1,1,Bangkok
321,2023-12-06 01:00:00,5,5,Chiang Mai
322,2023-12-06 02:00:00,4,4,Bangkok
323,2023-12-06 02:00:00,4,4,Chiang Mai
324,2023-12-06 03:00:00,5,5,Bangkok
325,2023-12-06 03:00:00,5,5,Chiang Mai
326,2023-12-06 04:00:00,4,4,Bangkok
327,2023-12-06 04:00:00,4,3,Chiang Mai
328,2023-12-06 05:00:00,5,5,Bangkok
329,2023-12-06 05:00:00,5,5,Chiang Mai
331,2023-12-06 06:00:00,1,2,Bangkok
330,2023-12-06 06:00:00,2,2,Chiang Mai
332,2023-12-06 07:00:00,2,1,Bangkok
333,2023-12-06 07:00:00,5,5,Chiang Mai
334,2023-12-06 08:00:00,5,5,Chiang Mai
335,2023-12-06 08:00:00,5,5,Bangkok
336,2023-12-06 09:00:00,3,5,Bangkok
337,2023-12-06 09:00:00,3,5,Chiang Mai
338,2023-12-06 10:00:00,3,3,Chiang Mai
339,2023-12-06 10:00:00,5,5,Bangkok
340,2023-12-06 11:00:00,5,5,Bangkok
341,2023-12-06 11:00:00,3,3,Chiang Mai
343,2023-12-06 12:00:00,5,5,Bangkok
342,2023-12-06 12:00:00,5,5,Chiang Mai
344,2023-12-06 13:00:00,5,5,Bangkok
345,2023-12-06 13:00:00,5,5,Chiang Mai
346,2023-12-06 14:00:00,2,1,Chiang Mai
347,2023-12-06 14:00:00,4,5,Bangkok
348,2023-12-06 15:00:00,5,5,Bangkok
349,2023-12-06 15:00:00,3,3,Chiang Mai
350,2023-12-06 16:00:00,1,1,Chiang Mai
351,2023-12-06 16:00:00,5,5,Bangkok
